run,problem,combo,solved,end,reason,checks,first_green_check,turn_at_proof,cost_std_at_proof,cost_std_end,checks_after,turns_after,changed_after,last_green_check,highwater_verdict,highwater_reason,replay_verified
lean-grep-fateh50-0730,fateh_5,lean-grep,true,completed,,9,9,41,0.01344,0.01409,0,1,false,9,,,true
lean-grep-fateh50-0730,fateh_53,lean-grep,true,completed,,3,3,21,0.0041,0.00446,0,2,false,3,,,true
lean-grep-fateh50-0730,fateh_56,lean-grep,true,provider_error,,64,56,456,0.38282,0.41772,8,23,true,64,,,true
lean-grep-fateh50-0730,fateh_57,lean-grep,true,completed,,11,5,170,0.02829,0.03187,6,16,true,11,,,true
lean-grep-fateh50-0730,fateh_6,lean-grep,true,provider_error,,63,56,271,0.13433,0.15782,7,29,false,63,,,true
lean-grep-fateh50-0730,fateh_7,lean-grep,true,completed,,22,17,86,0.02116,0.02424,5,10,false,22,,,true
lean-grep-fateh50-0730,fateh_72,lean-grep,true,provider_error,,74,68,449,0.26097,0.28093,6,31,true,74,,,true
lean-grep-fateh50-0730,fateh_74,lean-grep,true,completed,,5,5,136,0.02139,0.02171,0,1,false,5,,,true
lean-grep-fateh50-0730,fateh_75,lean-grep,true,provider_error,,43,34,292,0.09234,0.10809,9,26,true,43,,,true
lean-grep-fateh50-0730,fateh_76,lean-grep,true,provider_error,,78,73,418,0.12983,0.14152,5,30,false,78,,,true
lean-grep-fateh50-0730,fateh_77,lean-grep,true,completed,,29,20,240,0.0675,0.0873,9,38,true,29,,,true
lean-grep-fateh50-0730,fateh_79,lean-grep,true,completed,,21,17,110,0.0389,0.04201,4,9,true,21,,,true
lean-grep-fateh50-0730,fateh_82,lean-grep,true,completed,,9,5,74,0.01444,0.0164,4,8,false,9,,,true
lean-grep-fateh50-0730,fateh_83,lean-grep,true,completed,,4,4,41,0.00549,0.00564,0,1,false,4,,,true
lean-grep-fateh50-0730,fateh_9,lean-grep,true,completed,,3,3,40,0.00527,0.00554,0,2,false,3,,,true
lean-grep-fateh50-0730,fateh_99,lean-grep,,,no_record,8,8,62,0.02025,0.02025,0,1,false,8,,,true
lean-grep-fateh50-0730b,fateh_14,lean-grep,true,completed,,4,3,35,0.00644,0.00764,1,3,false,4,,,true
lean-grep-fateh50-0730b,fateh_15,lean-grep,true,completed,,20,18,132,0.04032,0.0426,2,4,false,20,,,true
lean-grep-fateh50-0730b,fateh_17,lean-grep,true,completed,,7,4,80,0.01628,0.01766,3,6,true,7,,,true
lean-grep-fateh50-0730b,fateh_19,lean-grep,true,completed,,70,68,241,0.10671,0.10929,2,4,false,70,,,true
lean-grep-fateh50-0730b,fateh_22,lean-grep,true,completed,,124,123,357,0.26571,0.27015,1,3,false,124,,,true
lean-grep-fateh50-0730b,fateh_25,lean-grep,true,completed,,34,32,169,0.08627,0.08929,2,4,false,34,,,true
lean-grep-fateh50-0730b,fateh_26,lean-grep,true,completed,,10,9,97,0.02696,0.02817,1,3,false,10,,,true
lean-grep-fateh50-0730b,fateh_3,lean-grep,true,completed,,135,134,735,0.85231,0.85601,1,2,false,135,,,true
lean-grep-fateh50-0730b,fateh_30,lean-grep,true,completed,,184,181,768,0.81364,0.81963,3,11,true,184,,,true
lean-grep-fateh50-0730b,fateh_34,lean-grep,true,completed,,8,7,43,0.01077,0.01168,1,3,false,8,,,true
lean-grep-fateh50-0730b,fateh_37,lean-grep,true,completed,,74,73,497,0.58298,0.58889,1,3,false,74,,,true
lean-grep-fateh50-0730b,fateh_40,lean-grep,true,completed,,132,130,524,0.48416,0.49027,2,4,false,132,,,true
lean-grep-fateh50-0730b,fateh_5,lean-grep,true,completed,,15,14,41,0.02405,0.02513,1,3,false,15,,,true
lean-grep-fateh50-0730b,fateh_53,lean-grep,true,completed,,8,6,43,0.00755,0.00833,2,4,false,8,,,true
lean-grep-fateh50-0730b,fateh_57,lean-grep,true,completed,,7,4,36,0.0038,0.00491,3,8,true,7,,,true
lean-grep-fateh50-0730b,fateh_64,lean-grep,true,completed,,53,52,498,0.27441,0.27742,1,3,false,53,,,true
lean-grep-fateh50-0730b,fateh_7,lean-grep,true,completed,,17,15,68,0.02345,0.02472,2,4,false,17,,,true
lean-grep-fateh50-0730b,fateh_70,lean-grep,true,completed,,163,162,597,0.30448,0.30891,1,3,false,163,,,true
lean-grep-fateh50-0730b,fateh_72,lean-grep,true,completed,,71,69,282,0.14726,0.15112,2,5,true,71,,,true
lean-grep-fateh50-0730b,fateh_74,lean-grep,true,completed,,18,17,121,0.02042,0.02118,1,3,false,18,,,true
lean-grep-fateh50-0730b,fateh_75,lean-grep,true,completed,,57,55,304,0.09043,0.09255,2,4,false,57,,,true
lean-grep-fateh50-0730b,fateh_76,lean-grep,true,completed,,23,22,162,0.02548,0.02625,1,3,false,23,,,true
lean-grep-fateh50-0730b,fateh_77,lean-grep,true,completed,,15,13,168,0.03769,0.03934,2,4,false,15,,,true
lean-grep-fateh50-0730b,fateh_79,lean-grep,true,completed,,29,27,189,0.06898,0.07153,2,5,true,29,,,true
lean-grep-fateh50-0730b,fateh_82,lean-grep,true,completed,,11,9,82,0.01499,0.01605,2,4,false,11,,,true
lean-grep-fateh50-0730b,fateh_83,lean-grep,true,completed,,11,10,89,0.01129,0.01187,1,3,false,11,,,true
lean-grep-fateh50-0730b,fateh_86,lean-grep,true,completed,,28,27,171,0.09438,0.09569,1,2,false,28,,,true
lean-grep-fateh50-0730b,fateh_88,lean-grep,true,completed,,222,219,862,0.83659,0.84633,3,8,true,222,,,true
lean-grep-fateh50-0730b,fateh_9,lean-grep,true,completed,,17,14,131,0.02716,0.02869,3,5,false,17,,,true
lean-grep-fateh50-0730b,fateh_96,lean-grep,true,completed,,53,52,260,0.10063,0.10165,1,2,false,53,,,true
lean-grep-fateh50-0730b,fateh_99,lean-grep,true,completed,,15,14,62,0.01714,0.01798,1,3,false,15,,,true
lean-search-fateh100-0801,fateh_1,lean-search,true,completed,,3,3,15,0.00497,0.00534,0,2,false,3,,,true
lean-search-fateh100-0801,fateh_10,lean-search,true,completed,,16,16,34,0.0289,0.02972,0,2,false,16,,,true
lean-search-fateh100-0801,fateh_100,lean-search,true,completed,,4,4,33,0.03405,0.0352,0,2,false,4,,,true
lean-search-fateh100-0801,fateh_11,lean-search,true,completed,,5,5,17,0.00977,0.01032,0,2,false,5,,,true
lean-search-fateh100-0801,fateh_12,lean-search,true,completed,,12,11,31,0.03735,0.03906,1,3,false,12,,,true
lean-search-fateh100-0801,fateh_13,lean-search,true,completed,,14,12,48,0.05806,0.0631,2,6,false,14,,,true
lean-search-fateh100-0801,fateh_14,lean-search,true,completed,,4,1,6,0.00412,0.00601,3,9,true,4,,,true
lean-search-fateh100-0801,fateh_15,lean-search,true,completed,,11,10,29,0.01595,0.01724,1,3,false,11,,,true
lean-search-fateh100-0801,fateh_16,lean-search,true,completed,,57,54,144,0.24729,0.2606,3,8,true,57,,,true
lean-search-fateh100-0801,fateh_17,lean-search,true,completed,,1,1,7,0.00228,0.00238,0,1,false,1,,,true
lean-search-fateh100-0801,fateh_18,lean-search,true,completed,,15,14,31,0.04968,0.05194,1,3,false,15,,,true
lean-search-fateh100-0801,fateh_19,lean-search,true,completed,,12,11,26,0.01889,0.02191,1,4,true,12,,,true
lean-search-fateh100-0801,fateh_2,lean-search,true,completed,,6,6,35,0.04087,0.04249,0,2,false,6,,,true
lean-search-fateh100-0801,fateh_20,lean-search,true,completed,,4,3,23,0.02607,0.02778,1,4,true,4,,,true
lean-search-fateh100-0801,fateh_21,lean-search,true,completed,,24,24,56,0.09584,0.09823,0,2,false,24,,,true
lean-search-fateh100-0801,fateh_22,lean-search,true,completed,,9,6,29,0.04521,0.05558,3,10,true,9,,,true
lean-search-fateh100-0801,fateh_23,lean-search,true,completed,,26,24,84,0.14451,0.15368,2,6,false,26,,,true
lean-search-fateh100-0801,fateh_24,lean-search,true,completed,,3,3,16,0.00436,0.00474,0,2,false,3,,,true
lean-search-fateh100-0801,fateh_25,lean-search,true,completed,,13,12,32,0.03746,0.04063,1,6,false,13,,,true
lean-search-fateh100-0801,fateh_26,lean-search,true,completed,,7,5,18,0.0199,0.02253,2,7,true,7,,,true
lean-search-fateh100-0801,fateh_27,lean-search,true,completed,,8,6,18,0.02034,0.02331,2,6,true,8,,,true
lean-search-fateh100-0801,fateh_29,lean-search,true,completed,,22,20,80,0.07625,0.08364,2,8,true,22,,,true
lean-search-fateh100-0801,fateh_3,lean-search,true,completed,,10,8,40,0.03845,0.04108,2,5,true,10,,,true
lean-search-fateh100-0801,fateh_30,lean-search,true,completed,,20,17,60,0.0742,0.0805,3,8,true,20,,,true
lean-search-fateh100-0801,fateh_31,lean-search,true,completed,,66,60,193,0.30311,0.34668,6,22,true,66,,,true
lean-search-fateh100-0801,fateh_32,lean-search,false,completed,compile_error,73,70,231,0.4074,0.41727,3,15,true,73,,,true
lean-search-fateh100-0801,fateh_33,lean-search,true,completed,,12,12,51,0.03807,0.03941,0,2,false,12,,,true
lean-search-fateh100-0801,fateh_34,lean-search,true,completed,,4,4,14,0.0171,0.01799,0,2,false,4,,,true
lean-search-fateh100-0801,fateh_35,lean-search,true,completed,,83,77,190,0.39011,0.4251,6,19,true,83,,,true
lean-search-fateh100-0801,fateh_37,lean-search,true,completed,,19,18,71,0.13014,0.13471,1,3,false,19,,,true
lean-search-fateh100-0801,fateh_38,lean-search,true,completed,,19,18,61,0.07821,0.08136,1,3,false,19,,,true
lean-search-fateh100-0801,fateh_39,lean-search,true,completed,,11,9,64,0.12012,0.13031,2,8,true,11,,,true
lean-search-fateh100-0801,fateh_4,lean-search,true,completed,,7,7,37,0.04165,0.04334,0,2,false,7,,,true
lean-search-fateh100-0801,fateh_40,lean-search,true,completed,,19,18,71,0.06764,0.07018,1,3,false,19,,,true
lean-search-fateh100-0801,fateh_43,lean-search,true,completed,,11,10,39,0.03635,0.03897,1,5,false,11,,,true
lean-search-fateh100-0801,fateh_44,lean-search,true,completed,,30,28,103,0.12012,0.12632,2,6,true,30,,,true
lean-search-fateh100-0801,fateh_45,lean-search,true,completed,,17,13,101,0.15471,0.17037,4,11,true,17,,,true
lean-search-fateh100-0801,fateh_46,lean-search,true,completed,,6,5,37,0.02095,0.02242,1,4,true,6,,,true
lean-search-fateh100-0801,fateh_47,lean-search,true,completed,,7,6,28,0.02468,0.0259,1,3,false,7,,,true
lean-search-fateh100-0801,fateh_48,lean-search,true,completed,,49,43,131,0.21646,0.2453,6,18,true,49,,,true
lean-search-fateh100-0801,fateh_49,lean-search,,,no_record,108,107,267,0.30705,0.31343,1,4,false,108,,,true
lean-search-fateh100-0801,fateh_5,lean-search,true,completed,,2,2,8,0.00564,0.00609,0,2,false,2,,,true
lean-search-fateh100-0801,fateh_50,lean-search,true,completed,,3,3,32,0.01336,0.01397,0,2,false,3,,,true
lean-search-fateh100-0801,fateh_51,lean-search,true,completed,,15,14,49,0.07926,0.08327,1,3,false,15,,,true
lean-search-fateh100-0801,fateh_52,lean-search,true,completed,,41,34,142,0.15918,0.18595,7,20,true,41,,,true
lean-search-fateh100-0801,fateh_53,lean-search,true,completed,,1,1,6,0.00203,0.00216,0,1,false,1,,,true
lean-search-fateh100-0801,fateh_54,lean-search,true,completed,,20,13,82,0.08311,0.09756,7,17,true,20,,,true
lean-search-fateh100-0801,fateh_55,lean-search,true,completed,,45,42,121,0.16226,0.17708,3,11,true,45,,,true
lean-search-fateh100-0801,fateh_56,lean-search,true,completed,,3,2,26,0.01601,0.01783,1,5,false,3,,,true
lean-search-fateh100-0801,fateh_57,lean-search,true,completed,,6,6,35,0.0197,0.02045,0,2,false,6,,,true
lean-search-fateh100-0801,fateh_58,lean-search,true,completed,,14,10,41,0.0918,0.10491,4,11,true,14,,,true
lean-search-fateh100-0801,fateh_59,lean-search,true,completed,,63,60,163,0.19634,0.20931,3,8,true,63,,,true
lean-search-fateh100-0801,fateh_6,lean-search,true,completed,,15,15,62,0.08529,0.08752,0,2,false,15,,,true
lean-search-fateh100-0801,fateh_60,lean-search,true,completed,,31,30,107,0.14889,0.15272,1,3,false,31,,,true
lean-search-fateh100-0801,fateh_61,lean-search,true,completed,,7,6,29,0.04406,0.04615,1,3,false,7,,,true
lean-search-fateh100-0801,fateh_62,lean-search,true,completed,,11,11,59,0.07137,0.0735,0,2,false,11,,,true
lean-search-fateh100-0801,fateh_63,lean-search,true,completed,,18,17,75,0.11192,0.11576,1,3,false,18,,,true
lean-search-fateh100-0801,fateh_64,lean-search,true,completed,,13,11,37,0.05557,0.05955,2,5,true,13,,,true
lean-search-fateh100-0801,fateh_65,lean-search,true,completed,,21,18,71,0.08345,0.09091,3,7,false,21,,,true
lean-search-fateh100-0801,fateh_66,lean-search,true,completed,,11,10,32,0.04447,0.04646,1,3,false,11,,,true
lean-search-fateh100-0801,fateh_67,lean-search,true,completed,,17,16,68,0.04703,0.05023,1,5,false,17,,,true
lean-search-fateh100-0801,fateh_68,lean-search,true,completed,,9,8,26,0.04411,0.04736,1,4,true,9,,,true
lean-search-fateh100-0801,fateh_69,lean-search,true,completed,,13,11,41,0.04364,0.04774,2,6,false,13,,,true
lean-search-fateh100-0801,fateh_7,lean-search,true,completed,,3,2,8,0.00801,0.00891,1,4,true,3,,,true
lean-search-fateh100-0801,fateh_70,lean-search,true,completed,,9,7,34,0.0379,0.04143,2,6,false,9,,,true
lean-search-fateh100-0801,fateh_71,lean-search,true,completed,,9,9,26,0.02097,0.02177,0,2,false,9,,,true
lean-search-fateh100-0801,fateh_72,lean-search,true,completed,,21,18,66,0.06283,0.07025,3,9,true,21,,,true
lean-search-fateh100-0801,fateh_73,lean-search,true,completed,,1,1,6,0.00101,0.00109,0,1,false,1,,,true
lean-search-fateh100-0801,fateh_74,lean-search,true,completed,,3,2,9,0.00183,0.0023,1,5,true,3,,,true
lean-search-fateh100-0801,fateh_75,lean-search,true,completed,,9,9,40,0.01589,0.01654,0,2,false,9,,,true
lean-search-fateh100-0801,fateh_76,lean-search,true,completed,,4,4,15,0.00255,0.00276,0,2,false,4,,,true
lean-search-fateh100-0801,fateh_77,lean-search,true,completed,,4,3,15,0.00932,0.01032,1,3,false,4,,,true
lean-search-fateh100-0801,fateh_79,lean-search,true,completed,,5,4,15,0.00455,0.00508,1,4,true,5,,,true
lean-search-fateh100-0801,fateh_8,lean-search,true,completed,,6,6,35,0.0177,0.01861,0,2,false,6,,,true
lean-search-fateh100-0801,fateh_80,lean-search,true,completed,,5,5,21,0.00796,0.00844,0,2,false,5,,,true
lean-search-fateh100-0801,fateh_81,lean-search,true,completed,,12,11,77,0.20342,0.20934,1,3,false,12,,,true
lean-search-fateh100-0801,fateh_82,lean-search,true,completed,,6,6,21,0.00779,0.00821,0,2,false,6,,,true
lean-search-fateh100-0801,fateh_83,lean-search,true,completed,,2,2,11,0.00223,0.00244,0,2,false,2,,,true
lean-search-fateh100-0801,fateh_84,lean-search,true,completed,,11,10,52,0.03211,0.03356,1,3,false,11,,,true
lean-search-fateh100-0801,fateh_87,lean-search,true,completed,,10,9,49,0.038,0.03964,1,3,false,10,,,true
lean-search-fateh100-0801,fateh_9,lean-search,true,completed,,1,1,7,0.00132,0.0014,0,1,false,1,,,true
lean-search-fateh100-0801,fateh_92,lean-search,true,completed,,3,3,22,0.02791,0.02902,0,2,false,3,,,true
lean-search-fateh20-0726,fateh_17,lean-search,true,completed,,11,9,40,0.00646,0.00713,2,5,true,11,,,true
lean-search-fateh20-0726,fateh_19,lean-search,true,completed,,71,55,164,0.04008,0.06185,16,41,true,71,,,true
lean-search-fateh20-0726,fateh_2,lean-search,true,completed,,356,349,881,0.82644,0.8484,7,20,true,356,,,true
lean-search-fateh20-0726,fateh_20,lean-search,true,completed,,62,25,142,0.05108,0.10836,37,100,true,62,,,true
lean-search-fateh20-0726,fateh_26,lean-search,true,completed,,63,19,87,0.03009,0.10548,44,138,true,63,,,true
lean-search-fateh20-0726,fateh_53,lean-search,true,completed,,2,2,6,0.00068,0.00074,0,1,false,2,,,true
lean-search-fateh20-0726,fateh_74,lean-search,true,completed,,4,3,17,0.0022,0.00258,1,4,true,4,,,true
lean-search-fateh20-0726,fateh_77,lean-search,true,completed,,147,94,262,0.08442,0.17616,53,146,true,147,,,true
lean-search-fateh20-0726,fateh_8,lean-search,true,completed,,122,93,302,0.10236,0.15658,29,75,true,122,,,true
lean-search-fateh20-0726,fateh_88,lean-search,true,completed,,515,498,832,0.77285,0.83056,17,72,true,515,,,true
